sentence,entities,positive_negative
"4/ China's bet would be that a) Trump would be distracted by his election grievances, and b) his national security infrastructure might be hollowed out. They would gamble that by the time Biden was sworn in, their move would be a fait accompli and impossible to reverse.",trump,-1
"2/ Reports suggest Trump's post-defeat rage could lead to the firings of Esper or Haspel. DoD and/or CIA could be leaderless by Thanksgiving. And if Trump refuses to concede, other national security officials could bail to try to save their careers. https://t.co/1kFIJB6WRW",trump,-1
"1/ The disarray of the lame duck Trump White House, especially in the national security space, could be staggering. And our adversaries may try to take advantage.   A short THREAD on what could go wrong in the next 60 days, and how Congress can help fill the void.",trump,-1
"Counterpoint @brhodes:  Trump used every autocratic tool he had to stay in power - bribed a foreign government, pepper sprayed protestors, tried to shut down vote counting, etc  And our democracy was so resilient that none of it worked and he still lost by millions of votes. https://t.co/SjMZKg6Hqu",trump,-1
"Candidates often declare victory before all the votes are counted, based on a belief that (1) all the votes should be counted; and (2) hard data shows their lead is so big it can’t be overcome by the outstanding ballots.   Trump is contemplating something VERY different.",trump,-1
"RT @BrendanBuck: The campaign is gonna do what it’s gonna do, but I really urge my Republican friends, wherever you come down on Trump, not…",trump,-1
Obama is right. Trump thinks doctors must be profiting off treating COVID because Trump CANNOT CONCEIVE of anyone doing anything simply because it's the right thing to do.,trump,-1
This can’t be right. The Trump campaign says infection rates are “down to almost nothing”. They say they’ve “gotten it under control”. https://t.co/cXsj3z8iYV,trump,-1
"The virus is spreading uncontrolled. 80,000 cases, 1,000 deaths today. The stock market dropped by over 900 points.   Trump has given up, and if he’s re-elected he will see it as a mandate to keep undermining efforts to control the spread. 2021 will be worse than 2020.",trump,-1
I introduced legislation to crack down on this kind of political meddling at Voice of America.  But it’s not just VOA - Trump is turning all our non-political agencies into arms of his propaganda machine. Just in time for the election.  https://t.co/6wZsqFW8QF,trump,-1
RT @IAStartingLine: Disaster in Omaha: Trump leaves supporters stranded in the cold after rally logistics fall apart. A dispatch from the g…,trump,-1
"They shame mask wearing. They hold super spreader events daily. They discourage testing. They pretend like a vaccine is days away so that people will let down their guard.   The biggest threat to America’s public health isn’t the virus, it’s the Trump White House. https://t.co/aHpdAJFkUX",trump,-1
"Ok. But not until we win.   News broke today that if Trump wins he plans to fire the heads of DoD, FBI and CIA and replace w his stooges. That’s not a surprise, but it’s confirmation of the democracy apocalypse that is coming if we don’t win. https://t.co/e4iNK3BJpW",trump,-1
"This is the nightmare. That Trump has made pathological lying “civil” and “normal”.    Here’s what the NYT’s fact checker said about Trump last night: “an unrelenting series of false, misleading and exaggerated statements”. https://t.co/kRD2AFThek",trump,-1
"Maybe the biggest lie of the night - Trump claiming Russia wants Trump to lose. That is, of course, objectively not true. All of our intelligence agencies agree Russia wants Trump to win and is working to make that happen.",trump,-1
Did folks expect Trump to have a last minute conversion?? He’s been doing everything within his power to dismantle and end the Affordable Care Act since day one. It’s the one thing he’s legitimately worked hard on. https://t.co/uCsIeLe55t,trump,-1
The e-mails told voters to support Trump but the DNI is sure the intent was to hurt Trump? That’s a dubious claim that seems motivated by the Administration’s desperation to distract from Russian interference and create false equivalencies between Russian and Iranian efforts.,trump,-1
These kleptocrats are pushing a billion dollar no bid contract to Karl Rove and a bunch of Trump donors.   Government is just a fountain of enrichment for this crowd.  https://t.co/m2t9p2OQDT,trump,-1
"RT @WillOremus: The scope of the Wisconsin Foxconn swindle is just astounding. Trump, Foxconn, &amp; the Wisconsin GOP upended people's lives a…",trump,-1
"This is what happens when our President is doing everything he can to spread the virus.   He's dialing back testing, opposing new funding for states, discouraging mask wearing and social distancing.  Trump is doing everything possible to make more people die. And he's succeeding. https://t.co/K15fMZ8txu",trump,-1
"2/ Russia knew it had to play a different game than 2016. So it built an operation to cull virulently pro-Trump Americans as pseudo-assets, so blind in their allegiance to Trump that they’ll willingly launder Kremlin constructed anti-Biden propaganda.   Guiliani was a key target.",trump,-1
RT @jonkarl: SIREN! The Biden Town Hall on ABC drew 2.3 million more viewers than the Trump town hall on NBC. There is nothing @realDonaldT…,trump,-1
"Got together w census advocates today in Meriden to encourage everyone who hasn’t gone to https://t.co/n8cZBTnB53 to fill out the form to do it by the end of today.   It’s an abomination Trump is cutting off the count, but we need to push hard to the finish line. https://t.co/BrXlKdkcAx",trump,-1
a. 365 questions seems like a lot in 45 days.   b. Does it matter that Trump has answered more if he’s lying through his teeth in 80% of the answers? No? Just the number of questions matters? Ok. https://t.co/yXehRDiUQG,trump,-1
10/ So Trump decided to take no chances when picking the deciding vote. Amy Coney Barrett is a no doubter. She is vocal in her belief that the ACA is unconstitutional. She's a lock to be the 5th vote to invalidate the ACA.  https://t.co/8IjRwy7jPN,trump,-1
"9/ Now the case is in front of SCOTUS. Alito and Thomas have already ruled against the ACA. Their votes are known. And really, so are those of Kavanaugh/Gorsuch. Trump promised to only appoint judges who would strike down the ACA. So the court is now likely 4-4 on the case.",trump,-1
"8/ Many thought the suit, Texas v. U.S., was bogus, but they underestimated McConnell and Trump's plan. Last December, the 5th Circuit ruled for the plaintiffs - the entire ACA should be invalidated.  It was a Trump appointed judge who provided the pivotal vote (surprise again!).",trump,-1
"7/ Then, the court strategy began. 20 GOP AGs filed a suit alleging that the repeal of the mandate tax required the entire ACA to be invalidated (surprise!).   When Trump took office, he broke with precedent and joined the suit against his own government. https://t.co/voNYHwOjkh",trump,-1
"6/ Then McConnell began his campaign to pack the federal courts w anti-ACA ideologues who would rule against the ACA.  He blocked Obama's nominees for 2 years, creating 100+ vacancies for Trump, and most importantly, stole a SCOTUS nomination from Obama. https://t.co/U8GENmdlYx",trump,-1
"5/ The plan began with tucking into the 2017 Trump tax bill a repeal of the individual mandate tax. Curiously, the bill left intact the mandate.  This was purposeful, bc the Supreme Court had upheld the ACA in 2012 based on the existence of the tax.  https://t.co/zXbVf3RKWi",trump,-1
"4/ But after McCain's thumbs down in 2017, Republicans came up with a new plan. If voters wouldn't allow them to repeal the ACA through the elected branch of government, then they would go another way - the courts.  McConnell and Trump put together a devious, detailed plan.",trump,-1
"So the entire GOP establishment, including Trump, are pushing a lawsuit they know will fail? BS. In fact, both lower courts ruled for Trump, and the requested remedy is the invalidation of the entire ACA. And yes, the suit's chances WERE low, but now Barrett tips the balance. https://t.co/7D3vLmiDD6",trump,-1
"RT @joshrogin: I for one don’t believe endorsements really matter, but just FYI, the Taliban have come out publicly for Trump. https://t.co…",trump,-1
Who cares that Trump “rejects” the Taliban’s endorsement? The point is the terrorist group jointly responsible for 9/11 thinks Trump is better for their interests. https://t.co/DzdfLBlLN6,trump,-1
"Trump said today, “Putin probably, possibly likes me. But...I guarantee you he'd rather see Biden.'  This is, of course, a 100% lie. U.S. intel is ON THE RECORD that Putin is working to elect Trump. And I’ve seen the classified info - the Russian effort is extraordinary.",trump,-1
"Trump seems to have lost 2-3 points after the first debate. So politically the right move for him is to run and hide, cower in a corner, and avoid the rest of the debates. If he doesn’t, by the time the next two are over, Biden would be up 20.",trump,-1
"No President in American history has been better for China than Donald Trump. No way for Pence to spin otherwise.  - Trump's trade war cost America 300,000 jobs. - Trump looked the other way while China took Hong Kong. - Trump gave China cover as they hid the spread of COVID.",trump,-1
"RT @markos: New @civiqs Texas poll for @DailyKos: Biden and Trump tied at 48. Cornyn (R) 47, Hegar (D) 46. This one is real, folks! No wond…",trump,-1
"If Trump wants to remain in charge - if he isn’t willing to invoke the 25th amendment - then he must continue to be held accountable.   Biden sees this as a national crisis and is pulling down negative ads. Trump is keeping his up, and lying about why. https://t.co/zur7J2sYvq",trump,-1
RT @jmhansler: .@ChrisMurphyCT tells @kylieatwood he's glad that Mark Meadows came out and made clear that Trump is not incapacitated - 'al…,trump,-1
Just finished a conversation w @jimsciutto.   We need to be ready for Russia to increase the pace of interference operations to make up for Trump’s coming absence from the campaign trail. Putin will do anything necessary to help Trump win. https://t.co/cVvNtrcfxb,trump,-1
Everyone in the Capitol complex needs to be tested.   Every Republican Senator or staff member who was in close contact with Trump needs to quarantine.   No business should proceed in the Senate until we understand the scope of this crisis.,trump,-1
"Let's be clear...COVID didn't sneak up on the President.   Since the spring, the White House has had multiple positive cases, including several people who have direct contact with Trump. And yet he didn't wear a mask at public events or private meetings at the White House,. https://t.co/1tDwWsoQE4",trump,-1
"10/ It's why Trump's former National Security Advisor, H.R. McMaster, said something today that is as shocking as it unsurprising.  He said Trump is 'aiding and abetting' Putin's interference campaign.   Wow.  But of course he is. And now you know the details.",trump,-1
"2/ Earlier this year, reports start coming into Congress about a giant, multi-layer Russian effort to help Trump in 2020. Bigger than what they did in 2016. Looks like Russians are trying to get U.S. persons - especially those close to Trump - to help.",trump,-1
"They believe the only way Trump can win is to stop people from voting, or stop the votes from being counted.  But for every polling place they close, every ballot box they take down, will just work harder to make sure 2020 turnout is the highest on record. https://t.co/bKYJegTGsm",trump,-1
"4/ So if AR-15 wielding white supremacists are at the polls this year, there are fewer legal remedies to remove them. Trump knows this, which is why he is pushing so hard.    But you can do something about it. Volunteer here to help protect the election. https://t.co/6jjRYClv8t",trump,-1
"1/ Let's be clear - Trump had a goal last night to get his right wing, white supremacists to organize an election day intimidation effort. He succeeded. Recruitment by Proud Boys and others is underway. Here's why this is especially worrying this year - and what you can do.",trump,-1
This will be the story. Trump refused to condemn white supremacy. No - he cheered them on. And they heard him loud and clear. https://t.co/9lJQp49tOH,trump,-1
"Down 10 points, with a desperate need for the debates to change his fortune, Trump has decided to make the debate so unwatchable that most Americans turned this off 15 minutes ago.   Interesting strategy.",trump,-1
American intel agencies are now just a division of Trump’s campaign. They gleefully disclose info (no matter how dubious) that Trump will like; they jealously keep secret info that Trump won’t like.   And the damage they are doing to American national security is incalculable. https://t.co/iUvRPw9NLf,trump,-1
"RT @MattGertz: Here’s how far down Fox News’ mobile site you need to scroll to get to a reference to the NYT Trump taxes bombshell, it’s ev…",trump,-1
1. Trump gets free health care as President.   2. He pays no taxes to help pay for it.   3. He is working really hard to confirm a Supreme Court justice who is going to vote to take away your health care.   Vote.,trump,-1
RT @rebeccaballhaus: Trump paid $750 in federal income taxes the year he won the presidency. He had paid no income taxes at all in 10 of th…,trump,-1
"On 6/20, Trump said 'When you do testing...you find more cases. So I said to my people, slow the testing down please.'  On 8/24, CDC issued new rules contradicting established science, telling those who had been in close contact with people w/ COVID they didn't need a test.  FYI.",trump,-1
"There won't be one moment, where Biden has clearly won and Trump bars the door, and REPUBLICANS OF CONSCIENCE rescue us.  No, for the next 100 days, Trump will boil democracy slowly. There will be myriad abuses, and not a one, by itself, will rattle the GOP.  That's the crisis.",trump,-1
The report is a Trump campaign document fueled by a Russian propagated conspiracy theory that couldn’t find any actual evidence to back up the conspiracy theory.  But that didn’t stop the committee from releasing it anyway and wasting a ton of taxpayer money in the process. https://t.co/hiAbswYEj6,trump,-1
"This report is a unique hybrid you rarely see coming from the United States Senate: half Trump campaign document, half Russian propaganda tool. Zero that advances any actual public interest. https://t.co/SQ7J8mGvAb",trump,-1
"Greenfield 45 Ernst 42  It’s simple, if we win Iowa then Mitch McConnell no longer runs the Senate.   Also, that poll has Trump and Biden tied in Iowa. If Trump loses Iowa, he’s done too.   Can’t imagine a better place to donate today than Iowa. https://t.co/opir9f7ftG",trump,-1
"Heads up - anybody in this country who has had COVID, or ever tests positive for the COVID antibodies, has a preexisting condition.  And when Trump rams through an anti-health care judge, and the ACA is eliminated, your rates are going through the roof.   FYI.",trump,-1
"200,000 Americans are now dead because we have an incompetent chief executive who cares about no one except himself.   Yes, this election just got more complicated, but this isn't complicated -   if Trump wins, another 200,000 die.",trump,-1
"This is extraordinary. Please watch ASAP.  “Maybe this COVID thing is a good thing,” Trump said at a task force meeting. “I don’t like shaking hands with people. I don’t have to shake hands with these disgusting people.” https://t.co/iEw7nLaIfo",trump,-1
"Why do we need Branstad to tell us this? Trump didn’t hide it at all!  In early 2020 he was the world’s number one cheerleader for China’s coronavirus response, making 40+ different statements praising Beijing. https://t.co/zUshj0TXJA",trump,-1
"RT @alexburnsNYT: NYT poll: As Trump flails on covid, GOP Senate struggles w/him  COLLINS is down 5 as Biden rolls in Maine McSALLY and Tru…",trump,-1
"It was like a one day story, but it’s just mind blowing that CDC dropped its recommendation that everyone (regardless of symptoms) get tested if they had contact with someone who is COVID positive.  This has no basis in good science. It just means “less testing” like Trump wants.",trump,-1
RT @DNCWarRoom: .@ChrisMurphyCT presses Redfield on why the CDC changed its guidelines to downplay testing after Trump said to “slow the te…,trump,-1
"RT @MaxBoot: UAE &amp; Bahrain recognizing Israel is good news, but don’t lose sight of the bigger picture:   “Trump will leave the Middle East…",trump,-1
"And almost 2,000 donations!Awesome.   If we want to save our democracy, we need to beat Trump AND win the Senate. And Montana is the key to control of the Senate.   $36K to go. We can do this by the end of tonight. Give at this link. https://t.co/tGCRY0cWxO https://t.co/RO59MxMZxO",trump,-1
"A huge story from the ⁦@hartfordcourant⁩. There isn’t a more respected prosecutor in CT than Nora Dannehy.   Looks like the fix is in, unsurprisingly. Trump is turning Durham’s report into a campaign pamphlet.  https://t.co/iCCTYQAFDG",trump,-1
"Saudi Arabia calls the shots. They say jump, Trump asks how high.   Someday we will know the reasons for the bizarre obeisance of the Trumps to the Saudi royal family. https://t.co/fedYxbf1AB",trump,-1
"Tensions in the eastern Mediterranean between Turkey and Greece are dangerously rising.  France and Russia deploying their military. The EU trying to mediate.  And, as usual, the U.S. is AWOL. Once again, relegated to a minor player under Trump. https://t.co/FY0MS7k4lG",trump,-1
"This is bananas.  The world is on the verge of 900,000 COVID deaths and the Trump administration is shutting down the USAID coronavirus task force.  This pandemic is not over, no matter how much Trump wants to pretend it is. https://t.co/rGPDJnMd93",trump,-1
"Hard to over-hype the damage Trump has done outside the U.S. - and how long it will linger.  Vicious Neo-Nazis in Germany are gaining strength, propelled by their attachment to Trump as their 'savior figure, a sort of great redeemer.' https://t.co/Zj490UxtHw",trump,-1
"Trump has effectively stopped admitting war refugees to the United States (under Trump, refugee admittance is at a 40 year low), shoving this crisis onto the lap of the rest of the world. Unconscionable.  https://t.co/LeYfZSNX1y",trump,-1
Hard to get your head around the full scale of the economic disaster Trump has wrought. https://t.co/QP9gtJJ5ns,trump,-1
"Re masks/social distancing, I know when I say 'Trump is deliberately killing people' it sounds harsh. But our language thus far has been egregiously weak.  If I drive on the sidewalk, no matter if my reason is to 'own the libs', I go to jail for a long time if I run people over.",trump,-1
RT @atrupar: 'You know who's going to be in charge of it? Cory Booker. That's going to be nice' -- Trump is barely trying to conceal his ra…,trump,-1
"This is good news, and a model for other universities to follow.  One of the tragedies of COVID in America is that we know what do to - but too many states and institutions refuse to follow the model, and Trump doesn't allow the federal government to spread the model. https://t.co/wKFOvvWC1U",trump,-1
"Joe Biden condemns violence, no matter who commits it.  Donald Trump refuses to condemn violence when his supporters are the assailants.  Under Obama and Biden, violent crime went down 15%.  This year, under Trump, murders are up 26% in American cities.  So now you know.",trump,-1
RT @CapehartJ: 'Do you really feel safer under Trump?' @JoeBiden #mantra,trump,-1
Read this entire thread.   Trump and his followers are going to do everything they can to sow chaos and unrest on our streets. Trump believes his re-election hinges on reaching up fear and violence. https://t.co/LuDQO0MPu7,trump,-1
"Yes. My book is mostly a history of how America got this violent. But the last part is the story of how we win the political fights necessary to reduce violence. And of course, that involves beating Trump. https://t.co/Uti38Ru0Uu",trump,-1
"6/ But you do it anyway, and you run over people.  You had no good reason to be reckless. You knew the consequences beforehand and did it anyway.  You'd be rightly called a killer.  The difference btwn you and Trump is that you killed 3 or 4. Trump's actions killed thousands.",trump,-1
